accepted_taxon,match_names,rank,common_name,epbc_status,epbc_listed_id,epbc_sprat_url,epbc_conservation_advice_url,epbc_recovery_plan_url,epbc_protected_matters_url,state_status,state_status_jurisdiction,state_source_url,source_dataset,source_date,notes
Acrodipsas myrmecophila,Acrodipsas myrmecophila,species,Small Ant-blue,,,,,,,VIC: Critically Endangered,VIC,https://www.environment.vic.gov.au/conserving-threatened-species/threatened-list%3Fa%3D675391,Curated EPBC and state butterfly status seed list,2026-05-25,"Victorian FFG-listed threatened butterfly."
Acrodipsas brisbanensis,Acrodipsas brisbanensis|Acrodipsas brisbanensis cyrilus,species,Large Ant-blue,,,,,,,VIC: Endangered,VIC,https://www.environment.vic.gov.au/conserving-threatened-species/threatened-list%3Fa%3D675391,Curated EPBC and state butterfly status seed list,2026-05-25,"Victorian FFG-listed threatened butterfly."
Ogyris halmaturia,Ogyris halmaturia,species,Large Bronze Azure,,,,,,,VIC: Critically Endangered,VIC,https://www.environment.vic.gov.au/conserving-threatened-species/threatened-list%3Fa%3D675391,Curated EPBC and state butterfly status seed list,2026-05-25,"Victorian threatened-list material."
Ogyris otanes,Ogyris otanes,species,Small Brown Azure,,,,,,,VIC: Critically Endangered,VIC,https://www.environment.vic.gov.au/conserving-threatened-species/threatened-list%3Fa%3D675391,Curated EPBC and state butterfly status seed list,2026-05-25,"Victorian threatened-list material."
Ogyris subterrestris subterrestris,Ogyris subterrestris subterrestris,subspecies,Mildura Ogyris / Arid Bronze Azure complex,,,,,,,VIC: Endangered,VIC,https://www.environment.vic.gov.au/conserving-threatened-species/threatened-list%3Fa%3D675391,Curated EPBC and state butterfly status seed list,2026-05-25,"Included for future synonym review; no direct current parquet match was found during exploration."
Oreixenica latialis theddora,Oreixenica latialis theddora,subspecies,Small Alpine Xenica,,,,,,,VIC: Critically Endangered,VIC,https://www.environment.vic.gov.au/conserving-threatened-species/threatened-list%3Fa%3D675391,Curated EPBC and state butterfly status seed list,2026-05-25,"Subspecies-level Victorian listing evidence."
Pasma tasmanica,Pasma tasmanica,species,Two-spotted Grass-skipper,,,,,,,VIC: Endangered,VIC,https://www.environment.vic.gov.au/conserving-threatened-species/threatened-list%3Fa%3D675391,Curated EPBC and state butterfly status seed list,2026-05-25,"Victorian threatened-list material."
Hesperilla flavescens,Hesperilla flavescens,species,Yellow Sedge-skipper,,,,,,,VIC: Endangered proposed / FFG-listed,VIC,https://bio-prd-naturekit-public-data.s3.ap-southeast-2.amazonaws.com/species_assessments/Hesperilla_flavescens_65005.pdf,Curated EPBC and state butterfly status seed list,2026-05-25,"Assessment material proposed Endangered in Victoria; older advisory material varied."
Candalides noelkeri,Candalides noelkeri,species,Golden-rayed Blue,,,,,,,VIC: Endangered,VIC,https://bio-prd-naturekit-public-data.s3.ap-southeast-2.amazonaws.com/actionstmts/Golden-rayed_Blue_Butterfly_AS_519887.pdf,Curated EPBC and state butterfly status seed list,2026-05-25,"Victorian conservation-significant threatened butterfly."
Telicota eurychlora,Telicota eurychlora,species,Southern Sedge-darter,,,,,,,VIC: Endangered,VIC,https://www.swifft.net.au/cb_pages/threatened_fauna_east_gippsland_shire.php,Curated EPBC and state butterfly status seed list,2026-05-25,"Victorian threatened-butterfly list material."
Ornithoptera richmondia,Ornithoptera richmondia,species,Richmond Birdwing,,,,,,,QLD: Vulnerable,QLD,https://wildnet.science-data.qld.gov.au/taxon-detail?taxon_id=2014,Curated EPBC and state butterfly status seed list,2026-05-25,"Queensland-listed conservation species; not treated as current EPBC-listed in this seed."
Acrodipsas illidgei,Acrodipsas illidgei,species,Illidge's Ant-blue / Mangrove Ant-blue,,,,,,,QLD: Vulnerable,QLD,https://wetlandinfo.detsi.qld.gov.au/wetlands/facts-maps/wildlife/?AreaID=conservation-park-hays-inlet-2,Curated EPBC and state butterfly status seed list,2026-05-25,"Queensland-listed conservation-significant butterfly."
Ogyris doddi,Ogyris doddi,species,Dodd's Azure,,,,,,,NT: Endangered,NT,https://nt.gov.au/environment/animals/threatened-animals,Curated EPBC and state butterfly status seed list,2026-05-25,"Current NT threatened animals list includes Dodd's Azure as Endangered."
Euploea alcathoe enastri,Euploea alcathoe enastri,subspecies,Gove Crow Butterfly,,76162,https://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=76162,,,,NT: Endangered (legacy source; verify current NT status),NT,https://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=76162,Curated EPBC and state butterfly status seed list,2026-05-25,"EPBC listing ceased in 2018 per SPRAT note from exploration; Status intentionally left blank."
